"","YYYY.MM.DD.DOY.","planting_date","harvest_date","yield","used_biomass","irrigation_demand","precipitation","county","crop","lat","long"
"1","1980-08-27(240)",1980130,1980240,15147.19043,0,421.828766,86.074997,"Okanogan","corn","48.15625N","119.71875W"
"2","1981-08-21(233)",1981130,1981233,15926.3877,0,427.074036,100.550003,"Okanogan","corn","48.15625N","119.71875W"
"3","1982-08-16(228)",1982130,1982228,13489.79102,0,363.383331,97.675003,"Okanogan","corn","48.15625N","119.71875W"
"4","1983-08-19(231)",1983130,1983231,15263.73731,0,382.292114,101.824997,"Okanogan","corn","48.15625N","119.71875W"
"5","1984-08-22(235)",1984130,1984235,13779.91113,0,391.802673,90.575005,"Okanogan","corn","48.15625N","119.71875W"
"6","1985-08-04(216)",1985130,1985216,13920.44824,0,445.965393,28.174999,"Okanogan","corn","48.15625N","119.71875W"
"7","1986-08-10(222)",1986130,1986222,13722.78613,0,405.909058,22.575001,"Okanogan","corn","48.15625N","119.71875W"
"8","1987-08-13(225)",1987130,1987225,14043.31934,0,393.008881,78.824997,"Okanogan","corn","48.15625N","119.71875W"
"9","1988-08-16(229)",1988130,1988229,14365.99219,0,424.182007,50.25,"Okanogan","corn","48.15625N","119.71875W"
"10","1989-08-18(230)",1989130,1989230,13565.94434,0,405.157379,81.974998,"Okanogan","corn","48.15625N","119.71875W"
"11","1990-08-14(226)",1990130,1990226,12872.875,0,385.648712,141.125,"Okanogan","corn","48.15625N","119.71875W"
"12","1991-08-19(231)",1991130,1991231,14308.9541,0,377.364471,115.625,"Okanogan","corn","48.15625N","119.71875W"
"13","1992-08-05(218)",1992130,1992218,12878.33301,0,331.857208,135.199997,"Okanogan","corn","48.15625N","119.71875W"
"14","1993-08-17(229)",1993130,1993229,16326.79199,0,350.894928,142.600006,"Okanogan","corn","48.15625N","119.71875W"
"15","1994-08-09(221)",1994130,1994221,13942.84961,0,412.341064,55.275002,"Okanogan","corn","48.15625N","119.71875W"
"16","1995-08-15(227)",1995130,1995227,14279.04102,0,389.375732,43.150002,"Okanogan","corn","48.15625N","119.71875W"
"17","1996-08-18(231)",1996130,1996231,14089.01367,0,411.801422,55.525002,"Okanogan","corn","48.15625N","119.71875W"
"18","1997-08-18(230)",1997130,1997230,15432.03906,0,376.910767,108.050003,"Okanogan","corn","48.15625N","119.71875W"
"19","1998-08-08(220)",1998130,1998220,12743.04785,0,331.235016,128.099991,"Okanogan","corn","48.15625N","119.71875W"
"20","1999-08-24(236)",1999130,1999236,14235.02832,0,409.907684,41.825001,"Okanogan","corn","48.15625N","119.71875W"
"21","2000-08-17(230)",2000130,2000230,14763.81445,0,416.722443,44.849998,"Okanogan","corn","48.15625N","119.71875W"
"22","2001-08-15(227)",2001130,2001227,15291.72656,0,423.438477,44.674999,"Okanogan","corn","48.15625N","119.71875W"
"23","2002-08-14(226)",2002130,2002226,13515.97461,0,418.662079,27.950001,"Okanogan","corn","48.15625N","119.71875W"
"24","2003-08-06(218)",2003130,2003218,13478.25488,0,422.993256,7.675,"Okanogan","corn","48.15625N","119.71875W"
"25","2004-08-09(222)",2004130,2004222,13306.15234,0,389.310425,78.175003,"Okanogan","corn","48.15625N","119.71875W"
"26","2005-08-13(225)",2005130,2005225,14699.75195,0,401.772583,61.75,"Okanogan","corn","48.15625N","119.71875W"
"27","2006-08-07(219)",2006130,2006219,13865.88574,0,387.842468,72.75,"Okanogan","corn","48.15625N","119.71875W"
"28","2007-08-08(220)",2007130,2007220,13454.44043,0,393.656311,35.475002,"Okanogan","corn","48.15625N","119.71875W"
"29","2008-08-12(225)",2008130,2008225,15096.0625,0,434.888031,33.849998,"Okanogan","corn","48.15625N","119.71875W"
"30","2009-08-04(216)",2009130,2009216,14124.79981,0,414.530609,29.275,"Okanogan","corn","48.15625N","119.71875W"
"31","2010-08-18(230)",2010130,2010230,14373.91406,0,403.557495,112.974998,"Okanogan","corn","48.15625N","119.71875W"
"32","2011-08-26(238)",2011130,2011238,15418.65234,0,426.787994,103.224998,"Okanogan","corn","48.15625N","119.71875W"
"33","2012-08-14(227)",2012130,2012227,13474.34473,0,349.939575,89.724998,"Okanogan","corn","48.15625N","119.71875W"
"34","2013-08-10(222)",2013130,2013222,13646.17383,0,400.795166,78.224998,"Okanogan","corn","48.15625N","119.71875W"
"35","2014-08-05(217)",2014130,2014217,13591.09375,0,389.473602,40.700001,"Okanogan","corn","48.15625N","119.71875W"
"36","2015-07-26(207)",2015130,2015207,11637.11621,0,380.321777,41.875,"Okanogan","corn","48.15625N","119.71875W"
"37","2016-08-13(226)",2016130,2016226,14943.37402,0,403.366577,51.950001,"Okanogan","corn","48.15625N","119.71875W"
"38","2017-08-08(220)",2017130,2017220,13709.53125,0,420.657501,21.424999,"Okanogan","corn","48.15625N","119.71875W"
"39","2018-08-07(219)",2018130,2018219,15536.19336,0,448.912018,23.225,"Okanogan","corn","48.15625N","119.71875W"
"40","2019-08-09(221)",2019130,2019221,14588.97949,0,425.089081,56.224998,"Okanogan","corn","48.15625N","119.71875W"
"41","1980-09-10(254)",1980130,1980254,15388.46289,0,384,121.825005,"Okanogan","corn","48.96875N","119.65625W"
"42","1981-08-27(239)",1981130,1981239,16368.91602,0,376,132.75,"Okanogan","corn","48.96875N","119.65625W"
"43","1982-08-23(235)",1982130,1982235,13301.2207,0,296,139.625,"Okanogan","corn","48.96875N","119.65625W"
